yuma,yamato,amugiri,hyuga,yuta
"RT @Kiita_ma: 理想と現実の浪人生活【浪人あるある】 実体験を踏まえた、リアルで、かつオーバーに浪人時代のあるあるを詰め込みました。1番思い入れがある「浪人あるある」は、「浪人カップルは地獄」です。 ↓フル https://t.co/VTqPzSt0dH htt… Jun 09, 2019 ","風向き変えますよ 3月の伸びあぐいから注目してて https://t.co/jMRe2ZDSuJ Mar 03, 2020 ","庭には2羽鶏がいる状況を写真で撮ってみたいなとふと思った🐔せーす Feb 19, 2021 ",,
"RT @comyamato0515: みんな！俺らを有名にしてくれ！頼む！🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏 https://t.co/ApSXQhkvWG Jun 07, 2019 ","@bozu_108 範馬刃牙と戦うときのビスケットオリバ Mar 01, 2020 ","作戦会議🔥 と見せかけて多分エロ動画共有してる https://t.co/mEkoEUXGtm Feb 19, 2021 ",,
"@Comyoutuber2 みなさん拡散お願いしやす🥺🥺🥺🥺🥺 Jun 07, 2019 ","@comhitomi1221 気付いた？ Mar 01, 2020 ","@_____itsusan 彼氏です😯 Feb 17, 2021 ",,
"RT @Comyoutuber2: 対義語ゲームが楽しすぎる件www 続きはYouTubeから👇👇 https://t.co/HxrTxJNBYq #拡散希望 #RTお願いします https://t.co/rWF58m0QR2 Jun 07, 2019 ","😫😫😫 https://t.co/hhOqVEaDl2 Mar 01, 2020 ","@O6h8WrP5FXsZ0PR お疲れ様です！ Feb 17, 2021 ",,
"RT @Comyoutuber2: 6月23日イベントやります この先イベントとかオフ会決まってないから、是非この機会にコムドットと遊びに来てね 質問はリプで受け付けます👇👇 それでは当日待ってます🔥🔥🔥 https://t.co/oumbcB7Z6c Jun 06, 2019 ","飴になりたいんだが、、 https://t.co/WPUmGlEjvF Mar 01, 2020 ","@7NL3BusyxFFdyTc 突撃するぞい！ Feb 17, 2021 ",,
"RT @Comyoutuber2: 今日の動画上がりました！！ https://t.co/p2XbWos5mV 最近眠気がものすごいコムドット💤 寝たいと思い、リーダーの前で思いっきり寝てみました！ 何も知らず部屋に入ってきたら、だらけきっているメンバーを目にする😨 予定を崩さ… Jun 06, 2019 ","仲間でYouTubeやってるから！！！！ https://t.co/rTRY3HhDGT Feb 29, 2020 ","@___seg__com @ha____524 仲良いですねお2人さん！😂 Feb 17, 2021 ",,
"RT @Comyoutuber2: 今日の動画です！！ https://t.co/D8fmrrXiIl みんなおなじみ編集オタクあむぎりですが、こいつが本当にどうしようもなく小心者なんです。本当に困ってるんです。ということで極悪コンビがあむぎりに理不尽にキレまくり言い返してくる… Jun 06, 2019 ","@comcha_han @comamugiri0123 オモロイ😂😂 Feb 28, 2020 ","@s_ai0402 卒業おめでとうございます🎓 Feb 17, 2021 ",,
"RT @comyuta0305: 僕の企画がスタートしました。 みんな応援してください📣 #こんな髪長いやつ誰がのせんだよ https://t.co/uzBFIdOwLn Jun 06, 2019 ","さて、オモロイ企画考えますか✍️ Feb 26, 2020 ","@th__kimt 最近してない！ Feb 17, 2021 ",,
"@han_nyah また気持ちが落ち着いたらやるっす ww Jun 06, 2019 ","TwitterやインスタのDM、コメント欄で貰った皆さんの貴重な意見しっかり読んで受け止めました 昨日の動画で不快な思いをした皆さん本当にごめんなさい 多くの人が見てくれてるということを再度認識して、毎日楽しい動画を出していくのでコムドットの応援をよろしくお願いします Feb 26, 2020 ","@___o35y 今目と目があって気づいた♪ Feb 17, 2021 ",,
"@comYuria0907 そうなん？！ Jun 06, 2019 ","本当に自分たちが苦しくて有名になりたい最初の頃から支えてくれたファンの方も、これから新規としてコムドットを支えてくれるファンも僕らからしたらどちらも大切なファンです どっちみちクソ有名になって全員古参にするから安心してね😉 Feb 25, 2020 ","@anna38254529 至って無心。 Feb 17, 2021 ",,
"インスタライブにビビって五分でやめてツイキャスやってみたけどツイキャスは2分でやめた コミュ症コミュ症コミュ症コミュ症コミュ症コミュ症コミュ症コミュ症コミュ症コミュ症コミュ症コミュ症 Jun 05, 2019 ","https://t.co/6TkSoTvxyS このプロフィールから投票できます 明日の朝が締め切りなので俺の後輩に1票入れてやってください お願いします🙏🙏🙏🙏 Feb 24, 2020 ","@mint__1010 全く！！😆 Feb 17, 2021 ",,
"モイ！iPhoneからキャス配信中 - インスタライブ恐怖症 https://t.co/Mwk9eMCRcn Jun 05, 2019 ","頑張れば必ず報われるわけではないけど、自分の周りの人が勇気を出して何かを始めたり、夢に向かってる姿を見ると応援したくなる いま俺の後輩が頑張ってます 人を応援する気持ちって純粋だしプラスだしとても素敵や感情だなと、久しぶりに応援する側になって感じました Feb 24, 2020 ","@dw2Jd6zz7LiYPna デカすぎてキツいです笑 Feb 17, 2021 ",,
"インスタライブ五分で話すことなくなって退散 Jun 05, 2019 ","すいやせん。 やっぱりファンのみんなに会うととんでもないエネルギーもらえます YouTuberだからこそこらからも生の現場を大事にしてこうと思いやす 今日来てくれた人本当にありがとう、そして来れなかった人もいつの日か会いやしょう #すいやせん Feb 23, 2020 ","@ntny0300942 してないですよしてないしてない😪 Feb 17, 2021 ",,
"川面に茜色の光が差し込み蝉の鳴き声が弱まる夏の夕暮れ 河川敷で僕らは話す すると君は言うんだ。 『付き合わない？』って。突然そんなことを言われて僕はドギマギしながら承諾した 二人で手をつないで帰るタイミング。目が開いた。人はこれを絶起と呼ぶ。顔も思い出せない。切なさに満ち溢れた朝。。 https://t.co/zF87xUECOE Jun 04, 2019 ","@kantamizutamari バズったので宣伝させてください 地元の5人で結成して次世代のYouTubeを担うポテンシャルの塊系YouTuberをやっています 現在チャンネル登録15万人ほどですが、確実に有名になるので今のうちに古参としてチャンネル登録お願いしま https://t.co/YaMqlL04c9 Feb 22, 2020 ","@su_jk_0901 ナイスう！！笑 Feb 17, 2021 ",,
"https://t.co/sMWirYdXLv こちらから見れます！ みなさん今まで本当にありがとうございました！みんなに出会えてよかったです😊 この動画で今後のことについてけじめをつけさせてもらったのでよかったらみてください。 https://t.co/3Dm5z3a1qc Jun 04, 2019 ","@comyuta0305 イッてて草 Feb 21, 2020 ","近すぎてる🤮 https://t.co/6FB2hxOoow Feb 17, 2021 ",,
"RT @Comyoutuber2: 今日の動画です！ https://t.co/zBIUtwyHmP 皆さんにご報告があります 見てください。 https://t.co/yyeGCQ0bJw Jun 04, 2019 ","@comyuma1214 ブラック企業で草 Feb 19, 2020 ","@hankunESP はんくんおめでとうございます！😝 Feb 16, 2021 ",,
"@one_more_mokkai ありがとうございます！ 頑張って伸びます Jun 03, 2019 ","@comyuma1214 てかこないだ高橋しょう子さんでダブルドリブルしてましたよね。 Feb 19, 2020 ","@ns0140 @JINJIN1027 @teokun711 とても良い意味であまりしなかったです！お二方に感謝です🙇‍♂️ Feb 15, 2021 ",,
"RT @one_more_mokkai: やーっと鹿児島着いたぁぁあ 今週のオレ的伸びそうなYouTuber コムドット https://t.co/vBL6WthrsB Jun 03, 2019 ","@comyuma1214 中学校時代に囚われてて草 Feb 19, 2020 ","@riko_com0912 @JINJIN1027 @teokun711 いつも見てる所にいる状況がヤバすぎました笑 Feb 15, 2021 ",,
"RT @Comyoutuber2: 今日の動画です！！！ https://t.co/5NFttFSJbg 今話題のキングダムの名言でコムドットが大喜利しました🔥 映画も放映されうなぎ上りのキングダムの力を借りさせていただきました🙏 毎週月曜日の大喜利みんな楽しんでね〜✌️ h… Jun 03, 2019 ","愛の反対はアンチではなく無関心 アンチもLOVEで返してみせましょう Feb 19, 2020 ","@vevemoooon オムライス！ Feb 15, 2021 ",,
"RT @Comyoutuber2: 今日の動画です🔥 https://t.co/1t6FJlx1pm 今日の動画はついに！！ うちのリーダーやまとの２４時間企画！ 人間は歩きでどこまでいけるのか！？ 自らにこの過酷な企画を与えたストイックなリーダーの努力、バイブス、YouTub… Jun 02, 2019 ","今日の動画で不快な思いさせてしまった方ごめんなさい。 もっと上品な下ネタ言えるように頑張ります！！！ Feb 17, 2020 ","@com_tocha @JINJIN1027 @teokun711 やばすぎた！！ Feb 15, 2021 ",,
"RT @Comyoutuber2: 今日の動画です🔥 https://t.co/mCGe4U3r1i リーダーやまとの２４時間企画後編になります🕺🏼 前編見ていただけましたでしょうか？ 見てない人は前編からみてね🙏 この動画見ないと多分やまと歩いて家来るからみた方がいいよ！！… Jun 02, 2019 ","うちのエース最強やな https://t.co/1DT7cJjX42 Feb 16, 2020 ","なんと！！スカイハウスにお邪魔させて頂きましたぁぁぁ！！😭🎊 めちゃくちゃ楽しかったです‼︎ 本当にありがとうございました！！！🙇‍♂️ 動画お楽しみに✨ https://t.co/eb7O6uc5HE Feb 15, 2021 ",,
"RT @Comyoutuber2: 今日の動画です🔥 https://t.co/lv8Tljyv18 今日の動画はやまとの２４時間企画と同時に裏で進行していた企画。 リーダーにやらせそそのかしてみた👌 です！！！！笑 みんなご存知ストイック、堅実、熱い男で有名ですが彼はどうする… Jun 02, 2019 ","今年のバレンタインは朝起きたら妹がガトーショコラくれました お兄ちゃん嬉しいです 今日も撮影行ってきます Feb 14, 2020 ","@kiyo_saiore おめでとうございます！！！！！！ Feb 15, 2021 ",,
"@comyamato0515 アヒンアヒンアヒンアヒンアヒンアヒンアヒンアヒン May 30, 2019 ","去年全てのプライドを捨てて、本気で売れるって決めて毎日のように原宿で声かけをしてたのを思い出した あの時くらいまっすぐ、ガムシャラに情熱をもってYouTubeやる 本気になったコムドットはヤバイ https://t.co/1sgwGqRmbX Feb 12, 2020 ","ツイートが見れないだとぉぉ⁉︎ 何でだろ申し訳ない😅💦 Feb 15, 2021 ",,
"RT @comyamato0515: みなさんこんばんは こちらがプライドと前歯を四年前に失ったうちのメンバーになります どうぞお見知り置きを。 https://t.co/2AXTVO5Ezn May 30, 2019 ","絶対こんなところで満足しない！ 今日からケイデンスあげまくる！ 絶対年内50万人！ 皆さん今まで通り熱い応援よろしくお願いします！ Feb 12, 2020 ","キヨさん300万人おめでとうございます！！🎊 この間届いたDVDを見て感動しました😭 これからも動画楽しみです😆 懐かしいツイート笑 #キヨ300万人 https://t.co/2MZ5dYi02s Feb 15, 2021 ",,
"最近の趣味。 やまとの顔でTinder🌞 https://t.co/0lza4YMp9i May 30, 2019 ","冷静に考えて、コムドットに会って「ラファエル野球拳やって」って言うのは、大谷翔平に会って「160km投げて」って言うのと同じだし、明日花キララに会って「騎乗位して」って言うのと同じだからね 僕は全力でラファエル野球拳やりますよ！いつか会いましょう明日花キララさん！ Feb 11, 2020 ","@9xChoi_com_ 😭😭🙇‍♂️ Feb 15, 2021 ",,
"RT @comyamato0515: 企画に参加してくれたみんなありがとう🙇‍♂️🙇‍♂️ 今回の動画を通してコムドットはこんなに多くの人に応援されてるんだなーと思いました 嬉しかったーーー！ 少しでも動画で楽しませられるように明日からもスクワットだけは欠かさずに頑張りま… May 30, 2019 ","コムドットが目指すのは「新しいYouTuber」 3年後には俺らが主流で、俺らがトップで俺らが1番イケてる シンプル Feb 10, 2020 ","@kazusmilecat214 おめでとうございやす🎉 Feb 15, 2021 ",,
"RT @Comyoutuber2: テラスハウス名言大喜利で爆笑ww https://t.co/6rHITDJVEU 今日の動画です！！ 人気番組テラスハウスの名言大喜利🔥💪 大喜利なのでテラスハウスを知らない人でも楽しめると思います✌️ 是非今みてください！！！！ http… May 30, 2019 ","ずっと高橋優也さんに撮ってもらいたくて、前から何回もDMしてその甲斐あって、遂に写真を撮っていただきました これからも諦めずに行動する人がチャンスを掴むということを証明し続けていきます 何よりもチャンスをくださった高橋優也さんに感謝です https://t.co/ayp7y7hO49 Feb 10, 2020 ","Happy Valentine‼︎✨(1日後) https://t.co/Ka0h3dIN4H Feb 15, 2021 ",,
"RT @Comyoutuber2: 本日の動画です🔥 https://t.co/gOGsXaEU5M 今日は第四回ツッコミ先行！！！！ テレビ番組ざっくりハイタッチの企画の１つをコムドットバージョンでお届けいたします🤝 今日のはわりと最高傑作に近いです🤗 ぜひチェック！！！！… May 30, 2019 ","@bozu_108 お前ともう付き合っている byケンシロウ Feb 10, 2020 ","エスポワールチャンネル登録者数50万人おめでとうございます！！🎊 いつもありがとうございます🙇‍♂️ これからもお世話になります😝 #エスポ50万人エスポ https://t.co/PK1LNOOQNE Feb 14, 2021 ",,
